YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question,DataValue,DataValueUnit,DataValueType,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2
2021,2021,AL,Alabama,Mental Health,Current poor mental health among high school students,30.9,%,Crude Prevalence,Grade,Grade 9,,Overall
2020,2020,WY,Wyoming,Mental Health,Postpartum depressive symptoms among women with a recent live birth,31.2,%,Crude Prevalence,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,Overall
2020,2020,WV,West Virginia,Mental Health,Depression among adults,33.8,%,Age-adjusted Prevalence,Sex,Female,,Overall
2020,2020,WA,Washington,Mental Health,Average mentally unhealthy days among adults,3.9,Number,Age-adjusted Mean,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,UT,Utah,Mental Health,Average mentally unhealthy days among adults,3.6,Number,Crude Mean,Overall,Overall,,Overall
2020,2020,WA,Washington,Mental Health,Depression among adults,23.4,%,Crude Prevalence,Overall,Overall,,Overall
2020,2020,TX,Texas,Mental Health,Depression among adults,18.0,%,Crude Prevalence,Age,Age 18-44,,Overall
2020,2020,WV,West Virginia,Mental Health,Depression among adults,29.9,%,Crude Prevalence,Age,Age 45-64,,Overall
2021,2021,AL,Alabama,Mental Health,Frequent mental distress among adults,15.8,%,Age-adjusted Prevalence,Sex,Male,,Overall
2020,2020,VT,Vermont,Mental Health,Average mentally unhealthy days among adults,3.8,Number,Crude Mean,Age,Age 45-64,,Overall
2020,2020,WA,Washington,Mental Health,Average mentally unhealthy days among adults,4.1,Number,Crude Mean,Sex,Female,,Overall
2020,2020,WV,West Virginia,Mental Health,Depression among adults,32.4,%,Crude Prevalence,Sex,Female,,Overall
2021,2021,AL,Alabama,Mental Health,Frequent mental distress among adults,33.0,%,Crude Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,UT,Utah,Mental Health,Frequent mental distress among adults,7.5,%,Crude Prevalence,Age,Age >=65,,Overall
2020,2020,UT,Utah,Mental Health,Average mentally unhealthy days among adults,4.0,Number,Age-adjusted Mean,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,WI,Wisconsin,Mental Health,Depression among adults,19.8,%,Crude Prevalence,Overall,Overall,,Overall
2021,2021,AL,Alabama,Mental Health,Frequent mental distress among adults,8.3,%,Crude Prevalence,Age,Age >=65,,Overall
2020,2020,WA,Washington,Mental Health,Average mentally unhealthy days among adults,5.5,Number,Age-adjusted Mean,Race/Ethnicity,"Asian, non-Hispanic",,Overall
2020,2020,VA,Virginia,Mental Health,Frequent mental distress among adults,13.0,%,Crude Prevalence,Race/Ethnicity,"Black, non-Hispanic",,Overall
2020,2020,WA,Washington,Mental Health,Average mentally unhealthy days among adults,4.0,Number,Crude Mean,Age,Age 45-64,,Overall
2021,2021,AL,Alabama,Mental Health,Postpartum depressive symptoms among women with a recent live birth,19.2,%,Crude Prevalence,Race/Ethnicity,"Black, non-Hispanic",,Overall
2020,2020,WY,Wyoming,Mental Health,Depression among adults,18.5,%,Crude Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,WY,Wyoming,Mental Health,Depression among adults,22.4,%,Crude Prevalence,Age,Age 18-44,,Overall
2020,2020,UT,Utah,Mental Health,Frequent mental distress among adults,10.7,%,Age-adjusted Prevalence,Sex,Male,,Overall
2020,2020,WV,West Virginia,Mental Health,Average mentally unhealthy days among adults,2.0,Number,Crude Mean,Overall,Overall,,Overall
2020,2020,VA,Virginia,Mental Health,Depression among adults,13.1,%,Crude Prevalence,Age,Age >=65,,Overall
2021,2021,AL,Alabama,Mental Health,Current poor mental health among high school students,40.5,%,Crude Prevalence,Sex,Female,,Overall
2020,2020,WA,Washington,Mental Health,Frequent mental distress among adults,28.7,%,Age-adjusted Prevalence,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,Overall
2020,2020,VA,Virginia,Mental Health,Average mentally unhealthy days among adults,2.3,Number,Crude Mean,Age,Age >=65,,Overall
2020,2020,TX,Texas,Mental Health,Frequent mental distress among adults,13.0,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,VA,Virginia,Mental Health,Depression among adults,20.6,%,Age-adjusted Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,WA,Washington,Mental Health,Average mentally unhealthy days among adults,2.1,Number,Age-adjusted Mean,Race/Ethnicity,Hispanic,,Overall
2020,2020,WV,West Virginia,Mental Health,Average mentally unhealthy days among adults,1.9,Number,Age-adjusted Mean,Sex,Male,,Overall
2020,2020,TX,Texas,Mental Health,Average mentally unhealthy days among adults,2.8,Number,Crude Mean,Sex,Male,,Overall
2020,2020,WV,West Virginia,Mental Health,Postpartum depressive symptoms among women with a recent live birth,15.5,%,Crude Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,WI,Wisconsin,Mental Health,Average mentally unhealthy days among adults,4.2,Number,Age-adjusted Mean,Race/Ethnicity,"White, non-Hispanic",,Overall
2021,2021,AL,Alabama,Mental Health,Current poor mental health among high school students,21.0,%,Crude Prevalence,Race/Ethnicity,"Black, non-Hispanic",,Overall
